word,size,eg,counter_eg,note
gym,56,"I had a really good feeling workout at the gym.
I was happy to discover a new class at the gym that I really enjoy.
I spent an hour at the gym working out to try to get back into shape.
Finally went to the gym after not going for a week
I was happy that was able to complete my gym challenge.
I climbed a really difficult route that I had been working on at the climbing gym.
I went to the gym and got in a great workout.
I had a good workout at my gym
Me and my husband went to the gym to burn off some calories.
I was able to have a great work out at the gym.  I feel really good.","When i came home from the gym and my dog greeted me very excitedly.|affection
I ran into an old friend at the gym, that I hadn't seen in about five years.|bonding
I went to the gym with a friend of mine who I hadn't seen in a long time.|bonding
I was happy when I was complimented for my boxing skills at the gym.|achievement
I was able to regain my strength in the gym after taking a month off.|achievement",'gym' is the top 1 frequently used word for exercise
went,43,"I went for a long walk with my dogs.
I went on a long bike ride, about 22 miles, while I listened to music
I WENT TO YOGA CLASS.
i went for a bike ride .
I went for a run outside.
I went to gym at morning it made me fresh, confidant and happy.
I went to the gym a hit multiple personal records.
Went for a jog.
Went to exercise for the first time in a while at the gym.
I went for a long run around a lake in a nice city park early in the morning.","I went to my uncle's birthday party.|affection
I went to lunch with some friends today|bonding
I went shopping with a friend.|bonding
I went out to dinner with my kids after work.|affection
My daughter and I went to a concert together and it was a fun and happy time.|affection",'went' is the top 2 frequently used word for exercise
workout,29,"Got a great yoga workout in.
I had a good workout at my gym
I got in a very good workout.
Doing my evening workout and making progress with weight loss.
Had a great workout session riding 20 miles on bike.
I managed to squeeze in a good workout between work tasks.
I had a good workout.
I did a hard workout today.
I was happy to get a good workout in today.
I had a great workout at the gym, I trained my back","I helped my mother get into a workout routine and participate with her.|affection
I started to see weight loss results from a new workout routine that I am trying.|achievement
Ran my workout in a record time.|achievement
I helped my friend Kyle create a workout regiment, he was really thankful.|bonding
I ate an ice cream cone while listening to the radio after a hard workout.|leisure",'workout' is the top 3 frequently used word for exercise
run,24,"When I went for a run early this morning, everything was quiet and I felt great afterwards.
I went on a 5mi run through a pretty neighborhood.
Going for a run near the beach.
I was able to run a mile a little faster.
I went for a long run around a lake in a nice city park early in the morning.
Being able to run a half mile cheered my day up.
I went for a run outside.
I went for a run and exercised during a nice, cool, sunny evening
I was able to go for a run yesterday for about 4 miles.
I went for a 3.5 mile run through the park on a sunny day.","My boyfriend and I went on a snack run to the grocery store.|affection
I watched my eighteen month old son run around the house, chasing the cat, and yelling, ""kitty!"".|affection
Seeing my dog run to me when I got home from work.|affection
i was really happy when i had a chance to run with my friends|bonding
I found out that I'm going to be going on a run with a friend later today.|bonding",'run' is the top 4 frequently used word for exercise
good,22,"I had a really good feeling workout at the gym.
I got in a very good workout.
i was happy that i was able to have good exercise at the gym.
I had a good workout at my gym
I went for a good jog when it was getting cool out.
I ran quite a long distance with good weather.
I was happy to get a good workout in today.
I worked out and lifted weights this morning and it felt good.
I had a good workout at the gym where I was able to meet my goals.
I had a good day at the gym, and lifted a lot.","I had a really good burrito for breakfast again today.|enjoy_the_moment
I drank beer with some good friends.|bonding
abc season end show will be good to watch|leisure
My son received a really good progress report from school.|achievement
I ate some good sushi.|enjoy_the_moment",'good' is the top 5 frequently used word for exercise
able,21,"I felt extra flexible today and was able to push into a deeper pose like I was Gumby.
I was able to get a workout in this morning before the kids woke up
i was able to get some decent exercise in today.
Being able to run a half mile cheered my day up.
I was happy that was able to complete my gym challenge.
I remember that I was finally able to exercise at a gym.
Last night I was able to walk a mile with little to no fatigue.
I was able to go for a run yesterday for about 4 miles.
I was able to run a mile a little faster.
I had a good workout at the gym where I was able to meet my goals.","After I made my sale, I was able to leave work early and go hang out with friends.|bonding
I was able to work on a new project and I always feel happy to start something new.|achievement
I was able to visit family for a couple of days.|affection
I was able to get a great nights sleep.|enjoy_the_moment
My husband and I were able to go to out to lunch together today.|affection",'able' is the top 6 frequently used word for exercise
morning,21,"I was happy when I did a exercise this morning.
I exercised when I  woke up and it felt wonderful to feel energized in the morning.
I went to gym at morning it made me fresh, confidant and happy.
I was able to get a workout in this morning before the kids woke up
going to jogging in the morning with my pet
I had an energizing morning workout.
I worked out and lifted weights this morning and it felt good.
When I went for a run early this morning, everything was quiet and I felt great afterwards.
I ran for two miles this morning.
I felt happy leaving the gym after doing cardio this morning.","I finished all my laundry and dishes early yesterday morning, so I had the whole day to relax.|leisure
My fiance made me an egg sandwich this morning.|affection
I took a half day at work and was able to spend the morning with my kids.|affection
I played with my dog for a few minutes earlier this morning.|affection
This morning i met one of my best friend after a long time which made me very happy.|bonding",'morning' is the top 7 frequently used word for exercise
today,19,"started doing Yoga from today.
I went to the gym today and lifted some weights. I felt so much better and happier afterwards.
I felt extra flexible today and was able to push into a deeper pose like I was Gumby.
Doing 5 reps of 80 pound dumbbells for shoulder press today at the gym.
Today I was able to take a break from work and go to the gym.
I exercise well today after a long time.
I did a hard workout today.
I exercised at today morning it made me happy.
Today my gym buddy and I both stayed on the elliptical for 25 minutes (we started at 10 minutes).
i was able to get some decent exercise in today.","today i could sell a couple of old pants and i could buy some pot that made me happy|achievement
Today is my birthday. hope my birthday blossoms into lots of dreams come ture.|enjoy_the_moment
I haven't been feeling well.  I was so happy I found the time to take a nap today.|leisure
My daughter graduated from Kindergarten today|affection
I saw my father today.|affection",'today' is the top 8 frequently used word for exercise
happy,18,"I was happy to discover a new class at the gym that I really enjoy.
I was happy when I went for my jog this morning and found $20.
i was happy that i was able to have good exercise at the gym.
I exercised at today morning it made me happy.
I felt happy leaving the gym after doing cardio this morning.
I was happy to get a good workout in today.
I was happy that was able to complete my gym challenge.
I went to gym at morning it made me fresh, confidant and happy.
I was happy when I did a exercise this morning.
Going for a run made me happy.","I was very happy when I went to the mall when my husband|affection
I was happy to find out my brother is getting married.|affection
Today is my week off from my work that feels happy to me yesterday.|enjoy_the_moment
I was happy when I went to dinner with my family.|affection
I was happy when I found out my sister had a job interview I knew she had been working toward.|affection",'happy' is the top 9 frequently used word for exercise
mile,14,"Being able to run a half mile cheered my day up.
I went for a 3.5 mile run through the park on a sunny day.
I completed a 2 mile run in less than 15 minutes.
I completed a 40 mile ride on my bicycle.
When I finished a 3 mile run.
I completed a 50 mile bike ride that was physically and mentally taxing.
Last night I was able to walk a mile with little to no fatigue.
I was able to go on a 3 mile walk before work and finish before it started raining.
I was able to run a mile a little faster.
Ran an 8 minute mile yesterday.","My car survived another 500 mile trip.|achievement
FOR THE FIRST TIME IN YEARS I BROKE A 10 MINUTE MILE AND A HALF THIS PAST WEEKEND!|achievement
I beat my record time for finishing a 3 mile run.|achievement
I felt very happy the day I was able to walk 1 mile on my treadmill.|achievement",'mile' is the top 10 frequently used word for exercise
