,cleaned_hm,ground_truth_category
0,We had a serious talk with some friends of ours who have been flaky lately. They understood and we had a good evening hanging out.,bonding
1,I meditated last night.,leisure
2,My grandmother start to walk from the bed after a long time.,affection
3,I picked my daughter up from the airport and we have a fun and good conversation on the way home.,bonding
4,when i received flowers from my best friend,bonding
5,I went shopping ,leisure
6,The phone that I have ordered in a local online store was delivered this morning. I like the phone so much!,enjoy_the_moment
7,I bought a new TV,achievement
8,I slow cooked a chuck roast on my stove that came out great.,achievement
9,I lost 2 kgs of weight after a month long effort I had put to achieve it.,achievement
10,"i finally learned to cook chicken
",achievement
11,INDIA WON THE SERIES AGAINST AUSTRALIA MADE ME TO FEEL HAPPY,enjoy_the_moment
12,My son results is today its got very good he scored 99% in school its so happy to see the results,affection
13,My family went to a wildlife park. It was so beautiful.,affection
14,A made quite the progress on an old rusty workbench I am restoring at the moment. With the new paint it looks like new.,achievement
15,Getting all my errands done and completed.,achievement
16,I finally mastered how to make crispy tofu.,achievement
17,After 3 long weeks of deep snow covered ground we finally had enough warm days in the Northeast for the snow to melt and I was able to start my day with a fantastic hike up the Appalachian trail that runs nearby my home. I felt as though my entire life suddenly came back into balance after being held back for weeks due to the enormous amount of snowfall :),nature
18,My husband says me 'I love u ' when i woke up in the morning.,affection
19,I ate some peanut butter M&Ms while watching John Oliver. They were delicious and he was hilarious.,enjoy_the_moment
20,I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.,leisure
21,I enjoyed play Soccer with my brother,affection
22,I went to lunch with my girlfriend and her family,affection
23,"My wife told me that despite my having lost overtime hours, she is happy to have me around her more.  ",affection
24,I cooked food for my mother-in-law.  And she liked it too,affection
25,My mother-in-law offered me money so I could buy some yogurt I can't afford to buy by myself. ,affection
26,I finally decorated my son's room for his birthday.,affection
27,"I traveled with my family and went to a beautiful beach, I enjoyed most of the attraction in the area, there's 
entertainers everywhere and a lot of people are gathering with music bands partying. It was a pleasant experience and I
 hope to return there anytime soon.
",affection
28,"The weather is very sultry in our place, our AC unit was damaged by rodents. The Electrician came earlier today and repaired it. Thank God, I need not sweat today.",nature
29,I celebrated my 7th wedding anniversary with my wife.,affection
30,My wife wear her favorite saree for office meeting.,affection
31,I played tennis with my friends,bonding
32,My daughter visited me at evening,affection
33,I measured my weight and found to be 1 pound lesser than the earlier day,achievement
34,"While buying medicine from a regular pharmacy store, I came to know that I had some unused points from my old purchases, so I did not have to pay anything for medicine I bought. ",enjoy_the_moment
35,Find a new job,achievement
36,When me and my wife shared pleasures. Both of us were very happy.,affection
37,"I got up very early, before daylight, and went outside to fly one of my RC quadcopters which is equipped with LED lights. While the lights make it very easy to see and orient the quadcopter, it is still somewhat difficult to see trees and other obstructions in my yard.  I was able to fly for just over 10 minutes all around my yard, over my home and our over my neighbor's yard (I have permission).  Flying in total darkness is challenging and super fun. ",achievement
38,My husband bought my favourite sweet that really made me very happy,affection
39,My husband made me my favorite food for dinner. ,affection
40,all are happy because of me for solving the major issue ,achievement
41,One last azalea bloom came out today and I was happy to see it because all of the other flowers were killed by a late frost a few weeks back.,nature
42,"I was able to find time to go have my hair cut, something I have been putting off all month and it looks great!",leisure
43,I got my computer fixed finally.Now i can get back to doing the things i need to get done.,achievement
44,My mother called out of the blue to tell me how proud she is of me.,affection
45,I watched my kids playing together and not fighting.,affection
46,My job provided lunch and it was really good. ,enjoy_the_moment
47,I made a delicious meal using fresh ingredients without having to go to the grocery store.,leisure
48,I made vacation plans with my daughter today for Florida in July.,affection
49,GO TO THEATRE AND MAKE HAPPY WITH MY FAMILY,affection
50,My mother is recovering from weakness after chemotherapy cycle.,affection
51,Watched a new episode of a show that I like. ,leisure
52,A good win for my sports team,achievement
53,Meeting up with my girlfriend at the park and just talking.,affection
54,I worked out and was able to keep up with the entire tape.,achievement
